#   degs,               arcmins         w_theta_p   w_theta_z_nocor    w_thete_z    delta_w(th)_p  delta_w(th)_z   one_plus_ws       Mpc_sep          bin_DD   bin_DD_wcor   bin_DR   n_DR_ratio
     1.9952624    119.7157440      0.0093853     -0.0098797      0.0084423      0.0005310      0.0011943      1.0009352      32237056.0000   1399996.0    1425902.68350  28276209.0  20.197350
     3.1622777    189.7366638      0.0077249     -0.0038390      0.0067537      0.0004565      0.0010639      1.0009647      51092288.0000   1772028.0    1790870.95134  35573238.0  20.074874
     5.0118723    300.7123413      0.0150570      0.0143359      0.0204565      0.0003820      0.0009701      0.9947088      80975816.0000   2199648.0    2212920.76938  43366435.0  19.715170
     7.9432821    476.5969238      0.0065676     -0.0032883      0.0012942      0.0003173      0.0008930      1.0052665     128338024.0000   2502824.0    2514331.18773  50216114.0  20.063782
    12.5892544    755.3552856      0.0036571      0.0123389      0.0131944      0.0002673      0.0007439      0.9905869     203402064.0000   3706716.0    3709848.27026  73222694.0  19.754061
    19.9526215   1197.1572266     -0.0017180     -0.0174922     -0.0026106      0.0002294      0.0005683      1.0008950     322370528.0000   6068212.0    6160124.21376 123511406.0  20.353838
    31.6227760   1897.3665771     -0.0238179     -0.0652515     -0.0478751      0.0002142      0.0005791      1.0252669     510922880.0000   5306856.0    5405506.91050 113533717.0  21.393781
    50.1187286   3007.1237793     -0.0271688      0.0123674     -0.0070341      0.0002520      0.0004774      0.9797226     809758272.0000   8821898.0    8652830.78053 174263406.0  19.753505
    79.4328156   4765.9687500      0.0284235      0.0566628      0.0200156      0.0001877      0.0005718      1.0082430    1283380096.0000   6592380.0    6363742.74761 124763671.0  18.925437
   125.8925171   7553.5507812     -0.0131350     -0.0016558     -0.0092420      0.0001158      0.0003515      0.9960707    2034020224.0000  16010740.0   15889077.43845 320710698.0  20.030973
   199.5262146  11971.5732422      0.0047336     -0.0027836     -0.0008300      0.0001183      0.0003646      1.0055682    3223705088.0000  14994104.0   15023478.09347 300686155.0  20.053626
   316.2277527  18973.6660156      0.0048179     -0.0120868     -0.0043953      0.0001309      0.0007635      1.0092539    5109228544.0000   3374922.0    3401197.66783  68316761.0  20.242471
   501.1872864  30071.2363281      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000    8097582592.0000         0.0          0.00000         0.0  20.242471
   794.3284302  47659.7070312      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000   12833805312.0000         0.0          0.00000         0.0  20.242471
  1258.9251709  75535.5078125      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000   20340201472.0000         0.0          0.00000         0.0  20.242471
  1995.2620850 119715.7265625      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000   32237049856.0000         0.0          0.00000         0.0  20.242471
  3162.2775879 189736.6562500      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000   51092287488.0000         0.0          0.00000         0.0  20.242471
  5011.8730469 300712.3750000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000   80975831040.0000         0.0          0.00000         0.0  20.242471
